,0,1,2
242,2001,Gund Arena                     ,cleveland cavaliers
243,2002,Gund Arena                     ,cleveland cavaliers
244,2003,Gund Arena                     ,cleveland cavaliers
245,2004,Gund Arena                     ,cleveland cavaliers
246,2005,Quicken Loans Arean            ,cleveland cavaliers
247,2006,Quicken Loans Arean            ,cleveland cavaliers
248,2007,Quicken Loans Arean            ,cleveland cavaliers
249,2008,Quicken Loans Arean            ,cleveland cavaliers
250,2009,Quicken Loans Arean            ,cleveland cavaliers
251,2010,Quicken Loans Arean            ,cleveland cavaliers
252,2011,Quicken Loans Arean            ,cleveland cavaliers
253,2012,Quicken Loans Arean            ,cleveland cavaliers
254,2013,Quicken Loans Arean            ,cleveland cavaliers
255,2014,Quicken Loans Arean            ,cleveland cavaliers
256,2015,Quicken Loans Arean            ,cleveland cavaliers
257,2016,Quicken Loans Arean            ,cleveland cavaliers
258,2017,Quicken Loans Arean            ,cleveland cavaliers
259,2018,Quicken Loans Arean            ,cleveland cavaliers
260,1980,Reunion Arena                     ,dallas mavericks
261,1981,Reunion Arena                     ,dallas mavericks
262,1982,Reunion Arena                     ,dallas mavericks
263,1983,Reunion Arena                     ,dallas mavericks
264,1984,Reunion Arena                     ,dallas mavericks
265,1985,Reunion Arena                     ,dallas mavericks
266,1986,Reunion Arena                     ,dallas mavericks
267,1987,Reunion Arena                     ,dallas mavericks
268,1988,Reunion Arena                     ,dallas mavericks
269,1989,Reunion Arena                     ,dallas mavericks
270,1990,Reunion Arena                     ,dallas mavericks
271,1991,Reunion Arena                     ,dallas mavericks
272,1992,Reunion Arena                     ,dallas mavericks
273,1993,Reunion Arena                     ,dallas mavericks
274,1994,Reunion Arena                     ,dallas mavericks
275,1995,Reunion Arena                     ,dallas mavericks
276,1996,Reunion Arena                     ,dallas mavericks
277,1997,Reunion Arena                     ,dallas mavericks
278,1998,Reunion Arena                     ,dallas mavericks
279,1999,Reunion Arena                     ,dallas mavericks
280,2000,Reunion Arena                     ,dallas mavericks
281,2001,American Airlines Arena           ,dallas mavericks
282,2002,American Airlines Arena           ,dallas mavericks
283,2003,American Airlines Arena           ,dallas mavericks
284,2004,American Airlines Arena           ,dallas mavericks
285,2005,American Airlines Arena           ,dallas mavericks
286,2006,American Airlines Arena           ,dallas mavericks
287,2007,American Airlines Arena           ,dallas mavericks
288,2008,American Airlines Arena           ,dallas mavericks
289,2009,American Airlines Arena           ,dallas mavericks
290,2010,American Airlines Arena           ,dallas mavericks
291,2011,American Airlines Arena           ,dallas mavericks
292,2012,American Airlines Arena           ,dallas mavericks
293,2013,American Airlines Arena           ,dallas mavericks
294,2014,American Airlines Arena           ,dallas mavericks
295,2015,American Airlines Arena           ,dallas mavericks
