year,venue,team
1999,Reunion Arena                     ,dallas mavericks
2000,Reunion Arena                     ,dallas mavericks
2001,American Airlines Arena           ,dallas mavericks
2002,American Airlines Arena           ,dallas mavericks
2003,American Airlines Arena           ,dallas mavericks
2004,American Airlines Arena           ,dallas mavericks
2005,American Airlines Arena           ,dallas mavericks
2006,American Airlines Arena           ,dallas mavericks
2007,American Airlines Arena           ,dallas mavericks
2008,American Airlines Arena           ,dallas mavericks
2009,American Airlines Arena           ,dallas mavericks
2010,American Airlines Arena           ,dallas mavericks
2011,American Airlines Arena           ,dallas mavericks
2012,American Airlines Arena           ,dallas mavericks
2013,American Airlines Arena           ,dallas mavericks
2014,American Airlines Arena           ,dallas mavericks
2015,American Airlines Arena           ,dallas mavericks
2016,American Airlines Arena           ,dallas mavericks
2017,American Airlines Arena           ,dallas mavericks
2018,American Airlines Arena           ,dallas mavericks
1967,Auditorium Arena                   ,denver nuggets
1968,Auditorium Arena                   ,denver nuggets
1969,Auditorium Arena                   ,denver nuggets
1970,Auditorium Arena                   ,denver nuggets
1971,Auditorium Arena                   ,denver nuggets
1972,Auditorium Arena                   ,denver nuggets
1973,Auditorium Arena                   ,denver nuggets
1974,Auditorium Arena                   ,denver nuggets
1975,McNichols Sports Arena            ,denver nuggets
1976,McNichols Sports Arena            ,denver nuggets
1977,McNichols Sports Arena            ,denver nuggets
1978,McNichols Sports Arena            ,denver nuggets
1979,McNichols Sports Arena            ,denver nuggets
1980,McNichols Sports Arena            ,denver nuggets
1981,McNichols Sports Arena            ,denver nuggets
1982,McNichols Sports Arena            ,denver nuggets
1983,McNichols Sports Arena            ,denver nuggets
1984,McNichols Sports Arena            ,denver nuggets
1985,McNichols Sports Arena            ,denver nuggets
1986,McNichols Sports Arena            ,denver nuggets
1987,McNichols Sports Arena            ,denver nuggets
1988,McNichols Sports Arena            ,denver nuggets
1989,McNichols Sports Arena            ,denver nuggets
1990,McNichols Sports Arena            ,denver nuggets
1991,McNichols Sports Arena            ,denver nuggets
1992,McNichols Sports Arena            ,denver nuggets
1993,McNichols Sports Arena            ,denver nuggets
1994,McNichols Sports Arena            ,denver nuggets
1995,McNichols Sports Arena            ,denver nuggets
1996,McNichols Sports Arena            ,denver nuggets
1997,McNichols Sports Arena            ,denver nuggets
1998,McNichols Sports Arena            ,denver nuggets
1999,Pepsi Center                      ,denver nuggets
2000,Pepsi Center                      ,denver nuggets
2001,Pepsi Center                      ,denver nuggets
2002,Pepsi Center                      ,denver nuggets
2003,Pepsi Center                      ,denver nuggets
2004,Pepsi Center                      ,denver nuggets
2005,Pepsi Center                      ,denver nuggets
2006,Pepsi Center                      ,denver nuggets
2007,Pepsi Center                      ,denver nuggets
2008,Pepsi Center                      ,denver nuggets
2009,Pepsi Center                      ,denver nuggets
2010,Pepsi Center                      ,denver nuggets
2011,Pepsi Center                      ,denver nuggets
2012,Pepsi Center                      ,denver nuggets
2013,Pepsi Center                      ,denver nuggets
2014,Pepsi Center                      ,denver nuggets
2015,Pepsi Center                      ,denver nuggets
2016,Pepsi Center                      ,denver nuggets
2017,Pepsi Center                      ,denver nuggets
2018,Pepsi Center                      ,denver nuggets
1948,North Side High School Gym   Fort   ,detroit pistons
1949,North Side High School Gym   Fort   ,detroit pistons
1950,North Side High School Gym   Fort   ,detroit pistons
1951,North Side High School Gym   Fort   ,detroit pistons
1952,Memorial Coliseum            Fort   ,detroit pistons
1953,Memorial Coliseum            Fort   ,detroit pistons
1954,Memorial Coliseum            Fort   ,detroit pistons
1955,Memorial Coliseum            Fort   ,detroit pistons
1956,Memorial Coliseum            Fort   ,detroit pistons
1957,Olympia Stadium                  ,detroit pistons
1958,Olympia Stadium                  ,detroit pistons
1959,Olympia Stadium                  ,detroit pistons
1960,Olympia Stadium                  ,detroit pistons
1961,Cobo Arena                       ,detroit pistons
1962,Cobo Arena                       ,detroit pistons
1963,Cobo Arena                       ,detroit pistons
1964,Cobo Arena                       ,detroit pistons
1965,Cobo Arena                       ,detroit pistons
1966,Cobo Arena                       ,detroit pistons
1967,Cobo Arena                       ,detroit pistons
1968,Cobo Arena                       ,detroit pistons
1969,Cobo Arena                       ,detroit pistons
1970,Cobo Arena                       ,detroit pistons
1971,Cobo Arena                       ,detroit pistons
1972,Cobo Arena                       ,detroit pistons
1973,Cobo Arena                       ,detroit pistons
1974,Cobo Arena                       ,detroit pistons
1975,Cobo Arena                       ,detroit pistons
1976,Cobo Arena                       ,detroit pistons
1977,Cobo Arena                       ,detroit pistons
1978,Silverdome                       ,detroit pistons
1979,Silverdome                       ,detroit pistons
1980,Silverdome                       ,detroit pistons
1981,Silverdome                       ,detroit pistons
1982,Silverdome                       ,detroit pistons
1983,Silverdome                       ,detroit pistons
1984,Silverdome                       ,detroit pistons
1985,Silverdome                       ,detroit pistons
1986,Silverdome                       ,detroit pistons
1987,Silverdome                       ,detroit pistons
1988,Palace of Auburn       ,detroit pistons
1989,Palace of Auburn       ,detroit pistons
1990,Palace of Auburn       ,detroit pistons
1991,Palace of Auburn       ,detroit pistons
1992,Palace of Auburn       ,detroit pistons
1993,Palace of Auburn       ,detroit pistons
1994,Palace of Auburn       ,detroit pistons
1995,Palace of Auburn       ,detroit pistons
1996,Palace of Auburn       ,detroit pistons
1997,Palace of Auburn       ,detroit pistons
1998,Palace of Auburn       ,detroit pistons
1999,Palace of Auburn       ,detroit pistons
2000,Palace of Auburn       ,detroit pistons
2001,Palace of Auburn       ,detroit pistons
2002,Palace of Auburn       ,detroit pistons
2003,Palace of Auburn       ,detroit pistons
2004,Palace of Auburn       ,detroit pistons
2005,Palace of Auburn       ,detroit pistons
2006,Palace of Auburn       ,detroit pistons
2007,Palace of Auburn       ,detroit pistons
2008,Palace of Auburn       ,detroit pistons
2009,Palace of Auburn       ,detroit pistons
2010,Palace of Auburn       ,detroit pistons
2011,Palace of Auburn       ,detroit pistons
2012,Palace of Auburn       ,detroit pistons
2013,Palace of Auburn       ,detroit pistons
2014,Palace of Auburn       ,detroit pistons
2015,Palace of Auburn       ,detroit pistons
2016,Palace of Auburn       ,detroit pistons
2017,Palace of Auburn       ,detroit pistons
2018,Palace of Auburn       ,detroit pistons
1946,Philadelphia Arena              ,golden state warriors
1947,Philadelphia Arena              ,golden state warriors
1948,Philadelphia Arena              ,golden state warriors
1949,Philadelphia Arena              ,golden state warriors
1950,Philadelphia Arena              ,golden state warriors
1951,Philadelphia Arena              ,golden state warriors
1952,Convention Hall                 ,golden state warriors
1953,Convention Hall                 ,golden state warriors
1954,Convention Hall                 ,golden state warriors
1955,Convention Hall                 ,golden state warriors
1956,Convention Hall                 ,golden state warriors
1957,Convention Hall                 ,golden state warriors
1958,Convention Hall                 ,golden state warriors
1959,Convention Hall                 ,golden state warriors
1960,Convention Hall                 ,golden state warriors
1961,Convention Hall                 ,golden state warriors
1962,Cow Palace                  ,golden state warriors
1963,Cow Palace                  ,golden state warriors
1964,Civic Auditorium          ,golden state warriors
1965,Civic Auditorium          ,golden state warriors
1966,Cow Palace       ,golden state warriors
1967,Cow Palace              ,golden state warriors
1968,Cow Palace              ,golden state warriors
1969,Cow Palace              ,golden state warriors
1970,Cow Palace              ,golden state warriors
1971,Oakland Coliseum        ,golden state warriors
1972,Oakland Coliseum        ,golden state warriors
1973,Oakland Coliseum        ,golden state warriors
1974,Oakland Coliseum        ,golden state warriors
1975,Oakland Coliseum        ,golden state warriors
1976,Oakland Coliseum        ,golden state warriors
1977,Oakland Coliseum        ,golden state warriors
1978,Oakland Coliseum        ,golden state warriors
1979,Oakland Coliseum        ,golden state warriors
1980,Oakland Coliseum        ,golden state warriors
1981,Oakland Coliseum        ,golden state warriors
1982,Oakland Coliseum        ,golden state warriors
1983,Oakland Coliseum        ,golden state warriors
1984,Oakland Coliseum        ,golden state warriors
1985,Oakland Coliseum        ,golden state warriors
1986,Oakland Coliseum        ,golden state warriors
1987,Oakland Coliseum        ,golden state warriors
1988,Oakland Coliseum        ,golden state warriors
1989,Oakland Coliseum        ,golden state warriors
1990,Oakland Coliseum        ,golden state warriors
1991,Oakland Coliseum        ,golden state warriors
1992,Oakland Coliseum        ,golden state warriors
1993,Oakland Coliseum        ,golden state warriors
1994,Oakland Coliseum        ,golden state warriors
1995,Oakland Coliseum        ,golden state warriors
1996,San Jose Arena      ,golden state warriors
1997,The Arena in Oakland                ,golden state warriors
1998,The Arena in Oakland                ,golden state warriors
1999,The Arena in Oakland                ,golden state warriors
2000,The Arena in Oakland                ,golden state warriors
2001,The Arena in Oakland                ,golden state warriors
2002,The Arena in Oakland                ,golden state warriors
2003,The Arena in Oakland                ,golden state warriors
2004,The Arena in Oakland                ,golden state warriors
2005,The Arena in Oakland                ,golden state warriors
2006,Oracle Arena                        ,golden state warriors
2007,Oracle Arena                        ,golden state warriors
2008,Oracle Arena                        ,golden state warriors
2009,Oracle Arena                        ,golden state warriors
2010,Oracle Arena                        ,golden state warriors
2011,Oracle Arena                        ,golden state warriors
2012,Oracle Arena                        ,golden state warriors
2013,Oracle Arena                        ,golden state warriors
2014,Oracle Arena                        ,golden state warriors
2015,Oracle Arena                        ,golden state warriors
2016,Oracle Arena                        ,golden state warriors
2017,Oracle Arena                        ,golden state warriors
2018,Oracle Arena                        ,golden state warriors
1967,San Diego Sports Arena,houston rockets
1968,San Diego Sports Arena,houston rockets
1969,San Diego Sports Arena,houston rockets
1970,San Diego Sports Arena,houston rockets
1971,Hofheinz Pavilion                ,houston rockets
1972,Hofheinz Pavilion                ,houston rockets
1973,Hofheinz Pavilion                ,houston rockets
1974,Hofheinz Pavilion                ,houston rockets
1975,Compaq Center                    ,houston rockets
1976,Compaq Center                    ,houston rockets
1977,Compaq Center                    ,houston rockets
1978,Compaq Center                    ,houston rockets
1979,Compaq Center                    ,houston rockets
1980,Compaq Center                    ,houston rockets
1981,Compaq Center                    ,houston rockets
1982,Compaq Center                    ,houston rockets
1983,Compaq Center                    ,houston rockets
1984,Compaq Center                    ,houston rockets
1985,Compaq Center                    ,houston rockets
1986,Compaq Center                    ,houston rockets
1987,Compaq Center                    ,houston rockets
1988,Compaq Center                    ,houston rockets
1989,Compaq Center                    ,houston rockets
1990,Compaq Center                    ,houston rockets
1991,Compaq Center                    ,houston rockets
1992,Compaq Center                    ,houston rockets
1993,Compaq Center                    ,houston rockets
1994,Compaq Center                    ,houston rockets
1995,Compaq Center                    ,houston rockets
1996,Compaq Center                    ,houston rockets
1997,Compaq Center                    ,houston rockets
1998,Compaq Center                    ,houston rockets
1999,Compaq Center                    ,houston rockets
2000,Compaq Center                    ,houston rockets
2001,Compaq Center                    ,houston rockets
2002,Compaq Center                    ,houston rockets
2003,Toyota Center,houston rockets
2004,Toyota Center,houston rockets
2005,Toyota Center,houston rockets
2006,Toyota Center,houston rockets
2007,Toyota Center,houston rockets
2008,Toyota Center,houston rockets
2009,Toyota Center,houston rockets
2010,Toyota Center,houston rockets
2011,Toyota Center,houston rockets
2012,Toyota Center,houston rockets
2013,Toyota Center,houston rockets
2014,Toyota Center,houston rockets
2015,Toyota Center,houston rockets
2016,Toyota Center,houston rockets
2017,Toyota Center,houston rockets
2018,Toyota Center,houston rockets
1967,State Fairgrounds              ,indiana pacers
1968,State Fairgrounds              ,indiana pacers
1969,State Fairgrounds              ,indiana pacers
1970,State Fairgrounds              ,indiana pacers
1971,State Fairgrounds              ,indiana pacers
1972,State Fairgrounds              ,indiana pacers
1973,State Fairgrounds              ,indiana pacers
1974,Market Square Arena           ,indiana pacers
1975,Market Square Arena           ,indiana pacers
1976,Market Square Arena           ,indiana pacers
1977,Market Square Arena           ,indiana pacers
1978,Market Square Arena           ,indiana pacers
1979,Market Square Arena           ,indiana pacers
1980,Market Square Arena           ,indiana pacers
1981,Market Square Arena           ,indiana pacers
1982,Market Square Arena           ,indiana pacers
1983,Market Square Arena           ,indiana pacers
1984,Market Square Arena           ,indiana pacers
1985,Market Square Arena           ,indiana pacers
1986,Market Square Arena           ,indiana pacers
1987,Market Square Arena           ,indiana pacers
1988,Market Square Arena           ,indiana pacers
1989,Market Square Arena           ,indiana pacers
1990,Market Square Arena           ,indiana pacers
1991,Market Square Arena           ,indiana pacers
1992,Market Square Arena           ,indiana pacers
1993,Market Square Arena           ,indiana pacers
1994,Market Square Arena           ,indiana pacers
1995,Market Square Arena           ,indiana pacers
1996,Market Square Arena           ,indiana pacers
1997,Market Square Arena           ,indiana pacers
1998,Market Square Arena           ,indiana pacers
1999,Conseco Fieldhouse            ,indiana pacers
2000,Conseco Fieldhouse            ,indiana pacers
2001,Conseco Fieldhouse            ,indiana pacers
2002,Conseco Fieldhouse            ,indiana pacers
2003,Conseco Fieldhouse            ,indiana pacers
2004,Conseco Fieldhouse            ,indiana pacers
2005,Conseco Fieldhouse            ,indiana pacers
2006,Conseco Fieldhouse            ,indiana pacers
2007,Conseco Fieldhouse            ,indiana pacers
2008,Conseco Fieldhouse            ,indiana pacers
2009,Conseco Fieldhouse            ,indiana pacers
2010,Bankers Life Fieldhouse       ,indiana pacers
2011,Bankers Life Fieldhouse       ,indiana pacers
2012,Bankers Life Fieldhouse       ,indiana pacers
2013,Bankers Life Fieldhouse       ,indiana pacers
2014,Bankers Life Fieldhouse       ,indiana pacers
2015,Bankers Life Fieldhouse       ,indiana pacers
2016,Bankers Life Fieldhouse       ,indiana pacers
2017,Bankers Life Fieldhouse       ,indiana pacers
2018,Bankers Life Fieldhouse       ,indiana pacers
1970,Memorial Auditorium              ,los angeles clippers
1971,Memorial Auditorium              ,los angeles clippers
1972,Memorial Auditorium              ,los angeles clippers
1973,Memorial Auditorium              ,los angeles clippers
1974,Memorial Auditorium              ,los angeles clippers
1975,Memorial Auditorium              ,los angeles clippers
1976,Memorial Auditorium              ,los angeles clippers
1977,Memorial Auditorium              ,los angeles clippers
1978,San Diego Sports Arena  ,los angeles clippers
1979,San Diego Sports Arena  ,los angeles clippers
1980,San Diego Sports Arena  ,los angeles clippers
1981,San Diego Sports Arena  ,los angeles clippers
1982,San Diego Sports Arena  ,los angeles clippers
1983,San Diego Sports Arena  ,los angeles clippers
1985,Los Angeles Sports Arena  ,los angeles clippers
1986,Los Angeles Sports Arena  ,los angeles clippers
1987,Los Angeles Sports Arena  ,los angeles clippers
1988,Los Angeles Sports Arena  ,los angeles clippers
1989,Los Angeles Sports Arena  ,los angeles clippers
1990,Los Angeles Sports Arena  ,los angeles clippers
1991,Los Angeles Sports Arena  ,los angeles clippers
1992,Los Angeles Sports Arena  ,los angeles clippers
1993,Los Angeles Sports Arena  ,los angeles clippers
1994,Los Angeles Sports Arena ,los angeles clippers
1995,Los Angeles Sports Arena ,los angeles clippers
1996,Los Angeles Sports Arena ,los angeles clippers
1997,Los Angeles Sports Arena ,los angeles clippers
1998,Los Angeles Sports Arena ,los angeles clippers
1999,Staples Center   ,los angeles clippers
2000,Staples Center   ,los angeles clippers
2001,Staples Center   ,los angeles clippers
2002,Staples Center   ,los angeles clippers
2003,Staples Center   ,los angeles clippers
2004,Staples Center   ,los angeles clippers
2005,Staples Center   ,los angeles clippers
2006,Staples Center   ,los angeles clippers
2007,Staples Center   ,los angeles clippers
2008,Staples Center   ,los angeles clippers
2009,Staples Center   ,los angeles clippers
2010,Staples Center   ,los angeles clippers
2011,Staples Center   ,los angeles clippers
2012,Staples Center   ,los angeles clippers
2013,Staples Center   ,los angeles clippers
2014,Staples Center   ,los angeles clippers
2015,Staples Center   ,los angeles clippers
2016,Staples Center   ,los angeles clippers
2017,Staples Center   ,los angeles clippers
2018,Staples Center   ,los angeles clippers
1948,Minneapolis Auditorium        ,los angeles lakers
1949,Minneapolis Auditorium        ,los angeles lakers
1950,Minneapolis Auditorium        ,los angeles lakers
1951,Minneapolis Auditorium        ,los angeles lakers
1952,Minneapolis Auditorium        ,los angeles lakers
1953,Minneapolis Auditorium        ,los angeles lakers
1954,Minneapolis Auditorium        ,los angeles lakers
1955,Minneapolis Auditorium        ,los angeles lakers
