year,venue,team
1970,Moody Coliseum                ,san antoni spurs
1971,Moody Coliseum                     ,san antoni spurs
1972,Moody Coliseum                     ,san antoni spurs
1973,HemisFair Arena            ,san antoni spurs
1974,HemisFair Arena            ,san antoni spurs
1975,HemisFair Arena            ,san antoni spurs
1976,HemisFair Arena            ,san antoni spurs
1977,HemisFair Arena            ,san antoni spurs
1978,HemisFair Arena            ,san antoni spurs
1979,HemisFair Arena            ,san antoni spurs
1980,HemisFair Arena            ,san antoni spurs
1981,HemisFair Arena            ,san antoni spurs
1982,HemisFair Arena            ,san antoni spurs
1983,HemisFair Arena            ,san antoni spurs
1984,HemisFair Arena            ,san antoni spurs
1985,HemisFair Arena            ,san antoni spurs
1986,HemisFair Arena            ,san antoni spurs
1987,HemisFair Arena            ,san antoni spurs
1988,HemisFair Arena            ,san antoni spurs
1989,HemisFair Arena            ,san antoni spurs
1990,HemisFair Arena            ,san antoni spurs
1991,HemisFair Arena            ,san antoni spurs
1992,HemisFair Arena            ,san antoni spurs
1993,Alamodome                ,san antoni spurs
1994,Alamodome                ,san antoni spurs
1995,Alamodome                ,san antoni spurs
1996,Alamodome                ,san antoni spurs
1997,Alamodome                ,san antoni spurs
1998,Alamodome                ,san antoni spurs
1999,Alamodome                ,san antoni spurs
2000,Alamodome                ,san antoni spurs
2001,Alamodome                ,san antoni spurs
2002,SBC Center              ,san antoni spurs
2003,SBC Center              ,san antoni spurs
2004,SBC Center              ,san antoni spurs
2005,SBC Center              ,san antoni spurs
2006,SBC Center              ,san antoni spurs
2007,SBC Center              ,san antoni spurs
2008,SBC Center              ,san antoni spurs
2009,SBC Center              ,san antoni spurs
2010,AT&T Center               ,san antoni spurs
2011,AT&T Center               ,san antoni spurs
2012,AT&T Center               ,san antoni spurs
2013,AT&T Center               ,san antoni spurs
2014,AT&T Center               ,san antoni spurs
2015,AT&T Center               ,san antoni spurs
2016,AT&T Center               ,san antoni spurs
2017,AT&T Center               ,san antoni spurs
2018,AT&T Center               ,san antoni spurs
1967,Seattle Center Coliseum          ,oklahoma city thunder
1968,Seattle Center Coliseum          ,oklahoma city thunder
1969,Seattle Center Coliseum          ,oklahoma city thunder
1970,Seattle Center Coliseum          ,oklahoma city thunder
1971,Seattle Center Coliseum          ,oklahoma city thunder
1972,Seattle Center Coliseum          ,oklahoma city thunder
1973,Seattle Center Coliseum          ,oklahoma city thunder
1974,Seattle Center Coliseum          ,oklahoma city thunder
1975,Seattle Center Coliseum          ,oklahoma city thunder
1976,Seattle Center Coliseum          ,oklahoma city thunder
1977,Seattle Center Coliseum          ,oklahoma city thunder
1978,Kingdome                         ,oklahoma city thunder
1979,Kingdome                         ,oklahoma city thunder
1980,Kingdome                         ,oklahoma city thunder
1981,Kingdome                         ,oklahoma city thunder
1982,Kingdome                         ,oklahoma city thunder
1983,Kingdome                         ,oklahoma city thunder
1984,Kingdome                         ,oklahoma city thunder
1985,Seattle Center Coliseum          ,oklahoma city thunder
1986,Seattle Center Coliseum          ,oklahoma city thunder
1987,Seattle Center Coliseum          ,oklahoma city thunder
1988,Seattle Center Coliseum          ,oklahoma city thunder
1989,Seattle Center Coliseum          ,oklahoma city thunder
1990,Seattle Center Coliseum          ,oklahoma city thunder
1991,Seattle Center Coliseum          ,oklahoma city thunder
1992,Seattle Center Coliseum          ,oklahoma city thunder
1993,Seattle Center Coliseum          ,oklahoma city thunder
1994,Tacoma Dome                       ,oklahoma city thunder
1995,Key Arena                        ,oklahoma city thunder
1996,Key Arena                        ,oklahoma city thunder
1997,Key Arena                        ,oklahoma city thunder
1998,Key Arena                        ,oklahoma city thunder
1999,Key Arena                        ,oklahoma city thunder
2000,Key Arena                        ,oklahoma city thunder
2001,Key Arena                        ,oklahoma city thunder
2002,Key Arena                        ,oklahoma city thunder
2003,Key Arena                        ,oklahoma city thunder
2004,Key Arena                        ,oklahoma city thunder
2005,Key Arena                        ,oklahoma city thunder
2006,Key Arena                        ,oklahoma city thunder
2007,Key Arena                        ,oklahoma city thunder
2008,Chesapeake Energy Arena         ,oklahoma city thunder
2009,Chesapeake Energy Arena         ,oklahoma city thunder
2010,Chesapeake Energy Arena         ,oklahoma city thunder
2011,Chesapeake Energy Arena         ,oklahoma city thunder
2012,Chesapeake Energy Arena         ,oklahoma city thunder
2013,Chesapeake Energy Arena         ,oklahoma city thunder
2014,Chesapeake Energy Arena         ,oklahoma city thunder
2015,Chesapeake Energy Arena         ,oklahoma city thunder
2016,Chesapeake Energy Arena         ,oklahoma city thunder
2017,Chesapeake Energy Arena         ,oklahoma city thunder
2018,Chesapeake Energy Arena         ,oklahoma city thunder
1995,SkyDome                           ,toronto raptors
1996,SkyDome                           ,toronto raptors
1997,SkyDome                           ,toronto raptors
1998,SkyDome                           ,toronto raptors
1999,Air Canada Centre                ,toronto raptors
2000,Air Canada Centre                ,toronto raptors
2001,Air Canada Centre                ,toronto raptors
2002,Air Canada Centre                ,toronto raptors
2003,Air Canada Centre                ,toronto raptors
2004,Air Canada Centre                ,toronto raptors
2005,Air Canada Centre                ,toronto raptors
2006,Air Canada Centre                ,toronto raptors
2007,Air Canada Centre                ,toronto raptors
2008,Air Canada Centre                ,toronto raptors
2009,Air Canada Centre                ,toronto raptors
2010,Air Canada Centre                ,toronto raptors
2011,Air Canada Centre                ,toronto raptors
2012,Air Canada Centre                ,toronto raptors
2013,Air Canada Centre                ,toronto raptors
2014,Air Canada Centre                ,toronto raptors
2015,Air Canada Centre                ,toronto raptors
2016,Air Canada Centre                ,toronto raptors
2017,Air Canada Centre                ,toronto raptors
2018,Air Canada Centre                ,toronto raptors
1974,Municipal Auditorium       ,utah jazz
1975,Superdome                      ,utah jazz
1976,Superdome                      ,utah jazz
1977,Superdome                      ,utah jazz
1978,Superdome                      ,utah jazz
1979,Salt Palace                ,utah jazz
1980,Salt Palace                ,utah jazz
1981,Salt Palace                ,utah jazz
1982,Salt Palace                ,utah jazz
1983,Salt Palace                ,utah jazz
1984,Salt Palace                ,utah jazz
1985,Salt Palace                ,utah jazz
1986,Salt Palace                ,utah jazz
1987,Salt Palace                ,utah jazz
1988,Salt Palace                ,utah jazz
1989,Salt Palace                ,utah jazz
1990,Salt Palace                ,utah jazz
1991,Delta Center                 ,utah jazz
1992,Delta Center                 ,utah jazz
1993,Delta Center                 ,utah jazz
1994,Delta Center                 ,utah jazz
1995,Delta Center                 ,utah jazz
1996,Delta Center                 ,utah jazz
1997,Delta Center                 ,utah jazz
1998,Delta Center                 ,utah jazz
1999,Delta Center                 ,utah jazz
2000,Delta Center                 ,utah jazz
2001,Delta Center                 ,utah jazz
2002,Delta Center                 ,utah jazz
2003,Delta Center                 ,utah jazz
2004,Delta Center                 ,utah jazz
2005,Delta Center                 ,utah jazz
2006,Energy Solutions Arena      ,utah jazz
2007,Energy Solutions Arena      ,utah jazz
2008,Energy Solutions Arena      ,utah jazz
2009,Energy Solutions Arena      ,utah jazz
2010,Energy Solutions Arena      ,utah jazz
2011,Energy Solutions Arena      ,utah jazz
2012,Energy Solutions Arena      ,utah jazz
2013,Energy Solutions Arena      ,utah jazz
2014,Energy Solutions Arena      ,utah jazz
2015,Vivint Smart Home Arena     ,utah jazz
2016,Vivint Smart Home Arena     ,utah jazz
2017,Vivint Smart Home Arena     ,utah jazz
2018,Vivint Smart Home Arena     ,utah jazz
1961,Chicago Amphitheater             ,washington wizards
1962,Chicago Coliseum                  ,washington wizards
1963,Baltimore Civic Center         ,washington wizards
1964,Baltimore Civic Center         ,washington wizards
1965,Baltimore Civic Center         ,washington wizards
1966,Baltimore Civic Center         ,washington wizards
1967,Baltimore Civic Center         ,washington wizards
1968,Baltimore Civic Center         ,washington wizards
1969,Baltimore Civic Center         ,washington wizards
1970,Baltimore Civic Center         ,washington wizards
1971,Baltimore Civic Center         ,washington wizards
1972,Baltimore Civic Center         ,washington wizards
1973,USAir Arena                     ,washington wizards
1974,USAir Arena                     ,washington wizards
1975,USAir Arena                     ,washington wizards
1976,USAir Arena                     ,washington wizards
1977,USAir Arena                     ,washington wizards
1978,USAir Arena                     ,washington wizards
1979,USAir Arena                     ,washington wizards
1980,USAir Arena                     ,washington wizards
1981,USAir Arena                     ,washington wizards
1982,USAir Arena                     ,washington wizards
1983,USAir Arena                     ,washington wizards
1984,USAir Arena                     ,washington wizards
1985,USAir Arena                     ,washington wizards
1986,USAir Arena                     ,washington wizards
1987,USAir Arena                     ,washington wizards
1988,USAir Arena                     ,washington wizards
1989,USAir Arena                     ,washington wizards
1990,USAir Arena                     ,washington wizards
1991,USAir Arena                     ,washington wizards
1992,USAir Arena                     ,washington wizards
1993,USAir Arena                     ,washington wizards
1994,USAir Arena                     ,washington wizards
1995,USAir Arena                     ,washington wizards
1996,USAir Arena                     ,washington wizards
1997,MCI Center                    ,washington wizards
1998,MCI Center                    ,washington wizards
1999,MCI Center                    ,washington wizards
2000,MCI Center                    ,washington wizards
2001,MCI Center                    ,washington wizards
2002,MCI Center                    ,washington wizards
2003,MCI Center                    ,washington wizards
2004,MCI Center                    ,washington wizards
2005,Verizon Center               ,washington wizards
2006,Verizon Center               ,washington wizards
2007,Verizon Center               ,washington wizards
2008,Verizon Center               ,washington wizards
2009,Verizon Center               ,washington wizards
2010,Verizon Center               ,washington wizards
2011,Verizon Center               ,washington wizards
2012,Verizon Center               ,washington wizards
2013,Verizon Center               ,washington wizards
2014,Verizon Center               ,washington wizards
2015,Verizon Center               ,washington wizards
2016,Verizon Center               ,washington wizards
2017,Verizon Center               ,washington wizards
2018,Verizon Center               ,washington wizards
