,year,venue,team,abv
170,1978,Chicago Stadium                  ,Chicago Bulls,CHI
171,1979,Chicago Stadium                  ,Chicago Bulls,CHI
172,1980,Chicago Stadium                  ,Chicago Bulls,CHI
173,1981,Chicago Stadium                  ,Chicago Bulls,CHI
174,1982,Chicago Stadium                  ,Chicago Bulls,CHI
175,1983,Chicago Stadium                  ,Chicago Bulls,CHI
176,1984,Chicago Stadium                  ,Chicago Bulls,CHI
177,1985,Chicago Stadium                  ,Chicago Bulls,CHI
178,1986,Chicago Stadium                  ,Chicago Bulls,CHI
179,1987,Chicago Stadium                  ,Chicago Bulls,CHI
180,1988,Chicago Stadium                  ,Chicago Bulls,CHI
181,1989,Chicago Stadium                  ,Chicago Bulls,CHI
182,1990,Chicago Stadium                  ,Chicago Bulls,CHI
183,1991,Chicago Stadium                  ,Chicago Bulls,CHI
184,1992,Chicago Stadium                  ,Chicago Bulls,CHI
185,1993,Chicago Stadium                  ,Chicago Bulls,CHI
186,1994,United Center                    ,Chicago Bulls,CHI
187,1995,United Center                    ,Chicago Bulls,CHI
188,1996,United Center                    ,Chicago Bulls,CHI
189,1997,United Center                    ,Chicago Bulls,CHI
190,1998,United Center                    ,Chicago Bulls,CHI
191,1999,United Center                    ,Chicago Bulls,CHI
192,2000,United Center                    ,Chicago Bulls,CHI
193,2001,United Center                    ,Chicago Bulls,CHI
194,2002,United Center                    ,Chicago Bulls,CHI
195,2003,United Center                    ,Chicago Bulls,CHI
196,2004,United Center                    ,Chicago Bulls,CHI
197,2005,United Center                    ,Chicago Bulls,CHI
198,2006,United Center                    ,Chicago Bulls,CHI
199,2007,United Center                    ,Chicago Bulls,CHI
200,2008,United Center                    ,Chicago Bulls,CHI
201,2009,United Center                    ,Chicago Bulls,CHI
202,2010,United Center                    ,Chicago Bulls,CHI
203,2011,United Center                    ,Chicago Bulls,CHI
204,2012,United Center                    ,Chicago Bulls,CHI
205,2013,United Center                    ,Chicago Bulls,CHI
206,2014,United Center                    ,Chicago Bulls,CHI
207,2015,United Center                    ,Chicago Bulls,CHI
208,2016,United Center                    ,Chicago Bulls,CHI
209,2017,United Center                    ,Chicago Bulls,CHI
210,2018,United Center                    ,Chicago Bulls,CHI
211,1970,Cleveland Arena                ,Cleveland Cavaliers,CLE
212,1971,Cleveland Arena                ,Cleveland Cavaliers,CLE
213,1972,Cleveland Arena                ,Cleveland Cavaliers,CLE
214,1973,Cleveland Arena                ,Cleveland Cavaliers,CLE
215,1974,The Coliseum                    ,Cleveland Cavaliers,CLE
216,1975,The Coliseum                    ,Cleveland Cavaliers,CLE
217,1976,The Coliseum                    ,Cleveland Cavaliers,CLE
218,1977,The Coliseum                    ,Cleveland Cavaliers,CLE
219,1978,The Coliseum                    ,Cleveland Cavaliers,CLE
220,1979,The Coliseum                    ,Cleveland Cavaliers,CLE
221,1980,The Coliseum                    ,Cleveland Cavaliers,CLE
222,1981,The Coliseum                    ,Cleveland Cavaliers,CLE
223,1982,The Coliseum                    ,Cleveland Cavaliers,CLE
224,1983,The Coliseum                    ,Cleveland Cavaliers,CLE
225,1984,The Coliseum                    ,Cleveland Cavaliers,CLE
226,1985,The Coliseum                    ,Cleveland Cavaliers,CLE
227,1986,The Coliseum                    ,Cleveland Cavaliers,CLE
228,1987,The Coliseum                    ,Cleveland Cavaliers,CLE
229,1988,The Coliseum                    ,Cleveland Cavaliers,CLE
230,1989,The Coliseum                    ,Cleveland Cavaliers,CLE
231,1990,The Coliseum                    ,Cleveland Cavaliers,CLE
232,1991,The Coliseum                    ,Cleveland Cavaliers,CLE
233,1992,The Coliseum                    ,Cleveland Cavaliers,CLE
234,1993,The Coliseum                    ,Cleveland Cavaliers,CLE
235,1994,Gund Arena                     ,Cleveland Cavaliers,CLE
236,1995,Gund Arena                     ,Cleveland Cavaliers,CLE
237,1996,Gund Arena                     ,Cleveland Cavaliers,CLE
238,1997,Gund Arena                     ,Cleveland Cavaliers,CLE
239,1998,Gund Arena                     ,Cleveland Cavaliers,CLE
240,1999,Gund Arena                     ,Cleveland Cavaliers,CLE
241,2000,Gund Arena                     ,Cleveland Cavaliers,CLE
242,2001,Gund Arena                     ,Cleveland Cavaliers,CLE
243,2002,Gund Arena                     ,Cleveland Cavaliers,CLE
244,2003,Gund Arena                     ,Cleveland Cavaliers,CLE
245,2004,Gund Arena                     ,Cleveland Cavaliers,CLE
246,2005,Quicken Loans Arean            ,Cleveland Cavaliers,CLE
247,2006,Quicken Loans Arean            ,Cleveland Cavaliers,CLE
248,2007,Quicken Loans Arean            ,Cleveland Cavaliers,CLE
249,2008,Quicken Loans Arean            ,Cleveland Cavaliers,CLE
250,2009,Quicken Loans Arean            ,Cleveland Cavaliers,CLE
251,2010,Quicken Loans Arean            ,Cleveland Cavaliers,CLE
252,2011,Quicken Loans Arean            ,Cleveland Cavaliers,CLE
253,2012,Quicken Loans Arean            ,Cleveland Cavaliers,CLE
254,2013,Quicken Loans Arean            ,Cleveland Cavaliers,CLE
255,2014,Quicken Loans Arean            ,Cleveland Cavaliers,CLE
256,2015,Quicken Loans Arean            ,Cleveland Cavaliers,CLE
257,2016,Quicken Loans Arean            ,Cleveland Cavaliers,CLE
258,2017,Quicken Loans Arean            ,Cleveland Cavaliers,CLE
259,2018,Quicken Loans Arean            ,Cleveland Cavaliers,CLE
260,1980,Reunion Arena                     ,Dallas Mavericks,DAL
261,1981,Reunion Arena                     ,Dallas Mavericks,DAL
262,1982,Reunion Arena                     ,Dallas Mavericks,DAL
263,1983,Reunion Arena                     ,Dallas Mavericks,DAL
264,1984,Reunion Arena                     ,Dallas Mavericks,DAL
265,1985,Reunion Arena                     ,Dallas Mavericks,DAL
266,1986,Reunion Arena                     ,Dallas Mavericks,DAL
267,1987,Reunion Arena                     ,Dallas Mavericks,DAL
268,1988,Reunion Arena                     ,Dallas Mavericks,DAL
269,1989,Reunion Arena                     ,Dallas Mavericks,DAL
270,1990,Reunion Arena                     ,Dallas Mavericks,DAL
271,1991,Reunion Arena                     ,Dallas Mavericks,DAL
272,1992,Reunion Arena                     ,Dallas Mavericks,DAL
273,1993,Reunion Arena                     ,Dallas Mavericks,DAL
274,1994,Reunion Arena                     ,Dallas Mavericks,DAL
275,1995,Reunion Arena                     ,Dallas Mavericks,DAL
276,1996,Reunion Arena                     ,Dallas Mavericks,DAL
277,1997,Reunion Arena                     ,Dallas Mavericks,DAL
278,1998,Reunion Arena                     ,Dallas Mavericks,DAL
279,1999,Reunion Arena                     ,Dallas Mavericks,DAL
