,year,venue,team,abv
936,1946,Madison Square Garden III     ,New York Knicks,NYK
937,1947,Madison Square Garden III     ,New York Knicks,NYK
938,1948,Madison Square Garden III     ,New York Knicks,NYK
939,1949,Madison Square Garden III     ,New York Knicks,NYK
940,1950,Madison Square Garden III     ,New York Knicks,NYK
941,1951,Madison Square Garden III     ,New York Knicks,NYK
942,1952,Madison Square Garden III     ,New York Knicks,NYK
943,1953,Madison Square Garden III     ,New York Knicks,NYK
944,1954,Madison Square Garden III     ,New York Knicks,NYK
945,1955,Madison Square Garden III     ,New York Knicks,NYK
946,1956,Madison Square Garden III     ,New York Knicks,NYK
947,1957,Madison Square Garden III     ,New York Knicks,NYK
948,1958,Madison Square Garden III     ,New York Knicks,NYK
949,1959,Madison Square Garden III     ,New York Knicks,NYK
950,1960,Madison Square Garden III     ,New York Knicks,NYK
951,1961,Madison Square Garden III     ,New York Knicks,NYK
952,1962,Madison Square Garden III     ,New York Knicks,NYK
953,1963,Madison Square Garden III     ,New York Knicks,NYK
954,1964,Madison Square Garden III     ,New York Knicks,NYK
955,1965,Madison Square Garden III     ,New York Knicks,NYK
956,1966,Madison Square Garden III     ,New York Knicks,NYK
957,1967,Madison Square Garden III     ,New York Knicks,NYK
958,1968,Madison Square Garden IV    ,New York Knicks,NYK
959,1969,Madison Square Garden IV    ,New York Knicks,NYK
960,1970,Madison Square Garden IV    ,New York Knicks,NYK
961,1971,Madison Square Garden IV    ,New York Knicks,NYK
962,1972,Madison Square Garden IV    ,New York Knicks,NYK
963,1973,Madison Square Garden IV    ,New York Knicks,NYK
964,1974,Madison Square Garden IV    ,New York Knicks,NYK
965,1975,Madison Square Garden IV    ,New York Knicks,NYK
966,1976,Madison Square Garden IV    ,New York Knicks,NYK
967,1977,Madison Square Garden IV    ,New York Knicks,NYK
968,1978,Madison Square Garden IV    ,New York Knicks,NYK
969,1979,Madison Square Garden IV    ,New York Knicks,NYK
970,1980,Madison Square Garden IV    ,New York Knicks,NYK
971,1981,Madison Square Garden IV    ,New York Knicks,NYK
972,1982,Madison Square Garden IV    ,New York Knicks,NYK
973,1983,Madison Square Garden IV    ,New York Knicks,NYK
974,1984,Madison Square Garden IV    ,New York Knicks,NYK
975,1985,Madison Square Garden IV    ,New York Knicks,NYK
976,1986,Madison Square Garden IV    ,New York Knicks,NYK
977,1987,Madison Square Garden IV    ,New York Knicks,NYK
978,1988,Madison Square Garden IV    ,New York Knicks,NYK
979,1989,Madison Square Garden IV    ,New York Knicks,NYK
980,1990,Madison Square Garden IV    ,New York Knicks,NYK
981,1991,Madison Square Garden IV    ,New York Knicks,NYK
982,1992,Madison Square Garden IV    ,New York Knicks,NYK
983,1993,Madison Square Garden IV    ,New York Knicks,NYK
984,1994,Madison Square Garden IV    ,New York Knicks,NYK
985,1995,Madison Square Garden IV    ,New York Knicks,NYK
986,1996,Madison Square Garden IV    ,New York Knicks,NYK
987,1997,Madison Square Garden IV    ,New York Knicks,NYK
988,1998,Madison Square Garden IV    ,New York Knicks,NYK
989,1999,Madison Square Garden IV    ,New York Knicks,NYK
990,2000,Madison Square Garden IV    ,New York Knicks,NYK
991,2001,Madison Square Garden IV    ,New York Knicks,NYK
992,2002,Madison Square Garden IV    ,New York Knicks,NYK
993,2003,Madison Square Garden IV    ,New York Knicks,NYK
994,2004,Madison Square Garden IV    ,New York Knicks,NYK
995,2005,Madison Square Garden IV    ,New York Knicks,NYK
996,2006,Madison Square Garden IV    ,New York Knicks,NYK
997,2007,Madison Square Garden IV    ,New York Knicks,NYK
998,2008,Madison Square Garden IV    ,New York Knicks,NYK
999,2009,Madison Square Garden IV    ,New York Knicks,NYK
1000,2010,Madison Square Garden IV    ,New York Knicks,NYK
1001,2011,Madison Square Garden IV    ,New York Knicks,NYK
1002,2012,Madison Square Garden IV    ,New York Knicks,NYK
1003,2013,Madison Square Garden IV    ,New York Knicks,NYK
1004,2014,Madison Square Garden IV    ,New York Knicks,NYK
1005,2015,Madison Square Garden IV    ,New York Knicks,NYK
1006,2016,Madison Square Garden IV    ,New York Knicks,NYK
1007,2017,Madison Square Garden IV    ,New York Knicks,NYK
1008,2018,Madison Square Garden IV    ,New York Knicks,NYK
1009,1989,Orlando Arena                     ,Orlando Magic,ORL
1010,1990,Orlando Arena                     ,Orlando Magic,ORL
1011,1991,Orlando Arena                     ,Orlando Magic,ORL
1012,1992,Orlando Arena                     ,Orlando Magic,ORL
1013,1993,Orlando Arena                     ,Orlando Magic,ORL
1014,1994,Orlando Arena                     ,Orlando Magic,ORL
1015,1995,Orlando Arena                     ,Orlando Magic,ORL
1016,1996,Orlando Arena                     ,Orlando Magic,ORL
1017,1997,TD Waterhouse Arena               ,Orlando Magic,ORL
1018,1998,TD Waterhouse Arena               ,Orlando Magic,ORL
1019,1999,TD Waterhouse Arena               ,Orlando Magic,ORL
1020,2000,TD Waterhouse Arena               ,Orlando Magic,ORL
1021,2001,TD Waterhouse Arena               ,Orlando Magic,ORL
1022,2002,TD Waterhouse Arena               ,Orlando Magic,ORL
1023,2003,TD Waterhouse Arena               ,Orlando Magic,ORL
1024,2004,TD Waterhouse Arena               ,Orlando Magic,ORL
1025,2005,TD Waterhouse Arena               ,Orlando Magic,ORL
1026,2006,TD Waterhouse Arena               ,Orlando Magic,ORL
1027,2007,TD Waterhouse Arena               ,Orlando Magic,ORL
1028,2008,TD Waterhouse Arena               ,Orlando Magic,ORL
1029,2009,TD Waterhouse Arena               ,Orlando Magic,ORL
1030,2010,Amway Center                      ,Orlando Magic,ORL
1031,2011,Amway Center                      ,Orlando Magic,ORL
1032,2012,Amway Center                      ,Orlando Magic,ORL
1033,2013,Amway Center                      ,Orlando Magic,ORL
1034,2014,Amway Center                      ,Orlando Magic,ORL
1035,2015,Amway Center                      ,Orlando Magic,ORL
1036,2016,Amway Center                      ,Orlando Magic,ORL
1037,2017,Amway Center                      ,Orlando Magic,ORL
1038,2018,Amway Center                      ,Orlando Magic,ORL
1039,1949,State Fair Coliseum               ,Philadelphia Sixers,PHI
1040,1950,State Fair Coliseum               ,Philadelphia Sixers,PHI
1041,1951,Onondaga County War Memorial      ,Philadelphia Sixers,PHI
1042,1952,Onondaga County War Memorial      ,Philadelphia Sixers,PHI
1043,1953,Onondaga County War Memorial      ,Philadelphia Sixers,PHI
1044,1954,Onondaga County War Memorial      ,Philadelphia Sixers,PHI
1045,1955,Onondaga County War Memorial      ,Philadelphia Sixers,PHI
1046,1956,Onondaga County War Memorial      ,Philadelphia Sixers,PHI
1047,1957,Onondaga County War Memorial      ,Philadelphia Sixers,PHI
1048,1958,Onondaga County War Memorial      ,Philadelphia Sixers,PHI
1049,1959,Onondaga County War Memorial      ,Philadelphia Sixers,PHI
1050,1960,Onondaga County War Memorial      ,Philadelphia Sixers,PHI
1051,1961,Onondaga County War Memorial      ,Philadelphia Sixers,PHI
1052,1962,Onondaga County War Memorial      ,Philadelphia Sixers,PHI
1053,1963,Convention Hall               ,Philadelphia Sixers,PHI
1054,1964,Convention Hall               ,Philadelphia Sixers,PHI
1055,1965,Convention Hall               ,Philadelphia Sixers,PHI
1056,1966,Convention Hall               ,Philadelphia Sixers,PHI
1057,1967,First Union Spectrum          ,Philadelphia Sixers,PHI
1058,1968,First Union Spectrum          ,Philadelphia Sixers,PHI
1059,1969,First Union Spectrum          ,Philadelphia Sixers,PHI
1060,1970,First Union Spectrum          ,Philadelphia Sixers,PHI
1061,1971,First Union Spectrum          ,Philadelphia Sixers,PHI
1062,1972,First Union Spectrum          ,Philadelphia Sixers,PHI
1063,1973,First Union Spectrum          ,Philadelphia Sixers,PHI
1064,1974,First Union Spectrum          ,Philadelphia Sixers,PHI
1065,1975,First Union Spectrum          ,Philadelphia Sixers,PHI
1066,1976,First Union Spectrum          ,Philadelphia Sixers,PHI
1067,1977,First Union Spectrum          ,Philadelphia Sixers,PHI
1068,1978,First Union Spectrum          ,Philadelphia Sixers,PHI
1069,1979,First Union Spectrum          ,Philadelphia Sixers,PHI
1070,1980,First Union Spectrum          ,Philadelphia Sixers,PHI
1071,1981,First Union Spectrum          ,Philadelphia Sixers,PHI
1072,1982,First Union Spectrum          ,Philadelphia Sixers,PHI
1073,1983,First Union Spectrum          ,Philadelphia Sixers,PHI
1074,1984,First Union Spectrum          ,Philadelphia Sixers,PHI
1075,1985,First Union Spectrum          ,Philadelphia Sixers,PHI
1076,1986,First Union Spectrum          ,Philadelphia Sixers,PHI
1077,1987,First Union Spectrum          ,Philadelphia Sixers,PHI
1078,1988,First Union Spectrum          ,Philadelphia Sixers,PHI
1079,1989,First Union Spectrum          ,Philadelphia Sixers,PHI
1080,1990,First Union Spectrum          ,Philadelphia Sixers,PHI
1081,1991,First Union Spectrum          ,Philadelphia Sixers,PHI
1082,1992,First Union Spectrum          ,Philadelphia Sixers,PHI
1083,1993,First Union Spectrum          ,Philadelphia Sixers,PHI
1084,1994,First Union Spectrum          ,Philadelphia Sixers,PHI
1085,1995,First Union Spectrum          ,Philadelphia Sixers,PHI
1086,1996,First Union Center            ,Philadelphia Sixers,PHI
1087,1997,First Union Center            ,Philadelphia Sixers,PHI
1088,1998,First Union Center            ,Philadelphia Sixers,PHI
1089,1999,First Union Center            ,Philadelphia Sixers,PHI
1090,2000,First Union Center            ,Philadelphia Sixers,PHI
1091,2001,First Union Center            ,Philadelphia Sixers,PHI
1092,2002,First Union Center            ,Philadelphia Sixers,PHI
1093,2003,Wahcovia center                 ,Philadelphia Sixers,PHI
1094,2004,Wahcovia center                 ,Philadelphia Sixers,PHI
1095,2005,Wahcovia center                 ,Philadelphia Sixers,PHI
1096,2006,Wahcovia center                 ,Philadelphia Sixers,PHI
1097,2007,Wahcovia center                 ,Philadelphia Sixers,PHI
1098,2008,Wahcovia center                 ,Philadelphia Sixers,PHI
1099,2009,Wahcovia center                 ,Philadelphia Sixers,PHI
1100,2010,Wells Fargo Center            ,Philadelphia Sixers,PHI
1101,2011,Wells Fargo Center            ,Philadelphia Sixers,PHI
1102,2012,Wells Fargo Center            ,Philadelphia Sixers,PHI
1103,2013,Wells Fargo Center            ,Philadelphia Sixers,PHI
1104,2014,Wells Fargo Center            ,Philadelphia Sixers,PHI
1105,2015,Wells Fargo Center            ,Philadelphia Sixers,PHI
1106,2016,Wells Fargo Center            ,Philadelphia Sixers,PHI
1107,2017,Wells Fargo Center            ,Philadelphia Sixers,PHI
1108,2018,Wells Fargo Center            ,Philadelphia Sixers,PHI
1109,1968,Arizona Veterans' Memorial Coliseum   ,Phoenix Suns,PHX
1110,1969,Arizona Veterans' Memorial Coliseum   ,Phoenix Suns,PHX
1111,1970,Arizona Veterans' Memorial Coliseum   ,Phoenix Suns,PHX
1112,1971,Arizona Veterans' Memorial Coliseum   ,Phoenix Suns,PHX
1113,1972,Arizona Veterans' Memorial Coliseum   ,Phoenix Suns,PHX
1114,1973,Arizona Veterans' Memorial Coliseum   ,Phoenix Suns,PHX
1115,1974,Arizona Veterans' Memorial Coliseum   ,Phoenix Suns,PHX
1116,1975,Arizona Veterans' Memorial Coliseum   ,Phoenix Suns,PHX
1117,1976,Arizona Veterans' Memorial Coliseum   ,Phoenix Suns,PHX
1118,1977,Arizona Veterans' Memorial Coliseum   ,Phoenix Suns,PHX
1119,1978,Arizona Veterans' Memorial Coliseum   ,Phoenix Suns,PHX
1120,1979,Arizona Veterans' Memorial Coliseum   ,Phoenix Suns,PHX
1121,1980,Arizona Veterans' Memorial Coliseum   ,Phoenix Suns,PHX
1122,1981,Arizona Veterans' Memorial Coliseum   ,Phoenix Suns,PHX
1123,1982,Arizona Veterans' Memorial Coliseum   ,Phoenix Suns,PHX
1124,1983,Arizona Veterans' Memorial Coliseum   ,Phoenix Suns,PHX
1125,1984,Arizona Veterans' Memorial Coliseum   ,Phoenix Suns,PHX
1126,1985,Arizona Veterans' Memorial Coliseum   ,Phoenix Suns,PHX
1127,1986,Arizona Veterans' Memorial Coliseum   ,Phoenix Suns,PHX
1128,1987,Arizona Veterans' Memorial Coliseum   ,Phoenix Suns,PHX
1129,1988,Arizona Veterans' Memorial Coliseum   ,Phoenix Suns,PHX
1130,1989,Arizona Veterans' Memorial Coliseum   ,Phoenix Suns,PHX
1131,1990,Arizona Veterans' Memorial Coliseum   ,Phoenix Suns,PHX
1132,1991,Arizona Veterans' Memorial Coliseum   ,Phoenix Suns,PHX
1133,1992,America West Arena                ,Phoenix Suns,PHX
1134,1993,America West Arena                ,Phoenix Suns,PHX
1135,1994,America West Arena                ,Phoenix Suns,PHX
1136,1995,America West Arena                ,Phoenix Suns,PHX
1137,1996,America West Arena                ,Phoenix Suns,PHX
1138,1997,America West Arena                ,Phoenix Suns,PHX
1139,1998,America West Arena                ,Phoenix Suns,PHX
1140,1999,America West Arena                ,Phoenix Suns,PHX
1141,2000,America West Arena                ,Phoenix Suns,PHX
1142,2001,America West Arena                ,Phoenix Suns,PHX
1143,2002,America West Arena                ,Phoenix Suns,PHX
1144,2003,America West Arena                ,Phoenix Suns,PHX
1145,2004,America West Arena                ,Phoenix Suns,PHX
1146,2005,America West Arena                ,Phoenix Suns,PHX
1147,2006,America West Arena                ,Phoenix Suns,PHX
1148,2007,America West Arena                ,Phoenix Suns,PHX
1149,2008,America West Arena                ,Phoenix Suns,PHX
1150,2009,America West Arena                ,Phoenix Suns,PHX
1151,2010,America West Arena                ,Phoenix Suns,PHX
1152,2011,America West Arena                ,Phoenix Suns,PHX
1153,2012,America West Arena                ,Phoenix Suns,PHX
1154,2013,America West Arena                ,Phoenix Suns,PHX
1155,2014,America West Arena                ,Phoenix Suns,PHX
1156,2015,Talking Stick Resort Arena        ,Phoenix Suns,PHX
1157,2016,Talking Stick Resort Arena        ,Phoenix Suns,PHX
1158,2017,Talking Stick Resort Arena        ,Phoenix Suns,PHX
1159,2018,Talking Stick Resort Arena        ,Phoenix Suns,PHX
1160,1970,Memorial Coliseum                ,Portland Trailblazers ,POR
1161,1971,Memorial Coliseum                ,Portland Trailblazers ,POR
1162,1972,Memorial Coliseum                ,Portland Trailblazers ,POR
1163,1973,Memorial Coliseum                ,Portland Trailblazers ,POR
1164,1974,Memorial Coliseum                ,Portland Trailblazers ,POR
1165,1975,Memorial Coliseum                ,Portland Trailblazers ,POR
1166,1976,Memorial Coliseum                ,Portland Trailblazers ,POR
1167,1977,Memorial Coliseum                ,Portland Trailblazers ,POR
1168,1978,Memorial Coliseum                ,Portland Trailblazers ,POR
1169,1979,Memorial Coliseum                ,Portland Trailblazers ,POR
1170,1980,Memorial Coliseum                ,Portland Trailblazers ,POR
1171,1981,Memorial Coliseum                ,Portland Trailblazers ,POR
1172,1982,Memorial Coliseum                ,Portland Trailblazers ,POR
1173,1983,Memorial Coliseum                ,Portland Trailblazers ,POR
1174,1984,Memorial Coliseum                ,Portland Trailblazers ,POR
1175,1985,Memorial Coliseum                ,Portland Trailblazers ,POR
1176,1986,Memorial Coliseum                ,Portland Trailblazers ,POR
1177,1987,Memorial Coliseum                ,Portland Trailblazers ,POR
1178,1988,Memorial Coliseum                ,Portland Trailblazers ,POR
1179,1989,Memorial Coliseum                ,Portland Trailblazers ,POR
1180,1990,Memorial Coliseum                ,Portland Trailblazers ,POR
1181,1991,Memorial Coliseum                ,Portland Trailblazers ,POR
1182,1992,Memorial Coliseum                ,Portland Trailblazers ,POR
1183,1993,Memorial Coliseum                ,Portland Trailblazers ,POR
1184,1994,Memorial Coliseum                ,Portland Trailblazers ,POR
1185,1995,Rose Garden                      ,Portland Trailblazers ,POR
1186,1996,Rose Garden                      ,Portland Trailblazers ,POR
1187,1997,Rose Garden                      ,Portland Trailblazers ,POR
1188,1998,Rose Garden                      ,Portland Trailblazers ,POR
1189,1999,Rose Garden                      ,Portland Trailblazers ,POR
1190,2000,Rose Garden                      ,Portland Trailblazers ,POR
1191,2001,Rose Garden                      ,Portland Trailblazers ,POR
1192,2002,Rose Garden                      ,Portland Trailblazers ,POR
1193,2003,Rose Garden                      ,Portland Trailblazers ,POR
1194,2004,Rose Garden                      ,Portland Trailblazers ,POR
1195,2005,Rose Garden                      ,Portland Trailblazers ,POR
1196,2006,Rose Garden                      ,Portland Trailblazers ,POR
1197,2007,Rose Garden                      ,Portland Trailblazers ,POR
1198,2008,Rose Garden                      ,Portland Trailblazers ,POR
1199,2009,Rose Garden                      ,Portland Trailblazers ,POR
1200,2010,Rose Garden                      ,Portland Trailblazers ,POR
1201,2011,Rose Garden                      ,Portland Trailblazers ,POR
1202,2012,Rose Garden                      ,Portland Trailblazers ,POR
1203,2013,Rose Garden                      ,Portland Trailblazers ,POR
1204,2014,Moda Center                      ,Portland Trailblazers ,POR
1205,2015,Moda Center                      ,Portland Trailblazers ,POR
1206,2016,Moda Center                      ,Portland Trailblazers ,POR
1207,2017,Moda Center                      ,Portland Trailblazers ,POR
1208,2018,Moda Center                      ,Portland Trailblazers ,POR
1209,1948,Edgarton Park Arena              ,Sacramento Kings ,SAC
1210,1949,Edgarton Park Arena              ,Sacramento Kings ,SAC
1211,1950,Edgarton Park Arena              ,Sacramento Kings ,SAC
1212,1951,Edgarton Park Arena              ,Sacramento Kings ,SAC
1213,1952,Edgarton Park Arena              ,Sacramento Kings ,SAC
1214,1953,Edgarton Park Arena              ,Sacramento Kings ,SAC
1215,1954,Edgarton Park Arena              ,Sacramento Kings ,SAC
1216,1955,Rochester War Memorial          ,Sacramento Kings ,SAC
1217,1956,Rochester War Memorial          ,Sacramento Kings ,SAC
1218,1957,Rochester War Memorial          ,Sacramento Kings ,SAC
1219,1958,Cincinnati Gardens             ,Sacramento Kings ,SAC
1220,1959,Cincinnati Gardens             ,Sacramento Kings ,SAC
1221,1960,Cincinnati Gardens             ,Sacramento Kings ,SAC
1222,1961,Cincinnati Gardens             ,Sacramento Kings ,SAC
1223,1962,Cincinnati Gardens             ,Sacramento Kings ,SAC
1224,1963,Cincinnati Gardens             ,Sacramento Kings ,SAC
1225,1964,Cincinnati Gardens             ,Sacramento Kings ,SAC
1226,1965,Cincinnati Gardens             ,Sacramento Kings ,SAC
1227,1966,Cincinnati Gardens             ,Sacramento Kings ,SAC
1228,1967,Cincinnati Gardens             ,Sacramento Kings ,SAC
1229,1968,Cincinnati Gardens             ,Sacramento Kings ,SAC
1230,1969,Cincinnati Gardens             ,Sacramento Kings ,SAC
1231,1970,Cincinnati Gardens             ,Sacramento Kings ,SAC
1232,1971,Cincinnati Gardens             ,Sacramento Kings ,SAC
1233,1972,Municipal Auditorium      ,Sacramento Kings ,SAC
1234,1973,Municipal Auditorium      ,Sacramento Kings ,SAC
1235,1974,Kemper Arena           ,Sacramento Kings ,SAC
1236,1975,Kemper Arena           ,Sacramento Kings ,SAC
1237,1976,Kemper Arena           ,Sacramento Kings ,SAC
1238,1977,Kemper Arena           ,Sacramento Kings ,SAC
1239,1978,Kemper Arena               ,Sacramento Kings ,SAC
1240,1979,Kemper Arena               ,Sacramento Kings ,SAC
1241,1980,Kemper Arena               ,Sacramento Kings ,SAC
1242,1981,Kemper Arena               ,Sacramento Kings ,SAC
1243,1982,Kemper Arena               ,Sacramento Kings ,SAC
1244,1983,Kemper Arena               ,Sacramento Kings ,SAC
1245,1984,Kemper Arena               ,Sacramento Kings ,SAC
1246,1985,ARCO Arena I                   ,Sacramento Kings ,SAC
1247,1986,ARCO Arena I                   ,Sacramento Kings ,SAC
1248,1987,ARCO Arena I                   ,Sacramento Kings ,SAC
1249,1988,ARCO Arena II                  ,Sacramento Kings ,SAC
1250,1989,ARCO Arena II                  ,Sacramento Kings ,SAC
1251,1990,ARCO Arena II                  ,Sacramento Kings ,SAC
1252,1991,ARCO Arena II                  ,Sacramento Kings ,SAC
1253,1992,ARCO Arena II                  ,Sacramento Kings ,SAC
1254,1993,ARCO Arena II                  ,Sacramento Kings ,SAC
1255,1994,ARCO Arena II                  ,Sacramento Kings ,SAC
1256,1995,ARCO Arena II                  ,Sacramento Kings ,SAC
1257,1996,ARCO Arena II                  ,Sacramento Kings ,SAC
1258,1997,ARCO Arena II                  ,Sacramento Kings ,SAC
1259,1998,ARCO Arena II                  ,Sacramento Kings ,SAC
1260,1999,ARCO Arena II                  ,Sacramento Kings ,SAC
1261,2000,ARCO Arena II                  ,Sacramento Kings ,SAC
1262,2001,ARCO Arena II                  ,Sacramento Kings ,SAC
1263,2002,ARCO Arena II                  ,Sacramento Kings ,SAC
1264,2003,ARCO Arena II                  ,Sacramento Kings ,SAC
1265,2004,ARCO Arena II                  ,Sacramento Kings ,SAC
1266,2005,ARCO Arena II                  ,Sacramento Kings ,SAC
1267,2006,ARCO Arena II                  ,Sacramento Kings ,SAC
1268,2007,ARCO Arena II                  ,Sacramento Kings ,SAC
1269,2008,ARCO Arena II                  ,Sacramento Kings ,SAC
1270,2009,ARCO Arena II                  ,Sacramento Kings ,SAC
1271,2010,ARCO Arena II                  ,Sacramento Kings ,SAC
1272,2011,ARCO Arena II                  ,Sacramento Kings ,SAC
1273,2012,ARCO Arena II                  ,Sacramento Kings ,SAC
1274,2013,Sleep Train Arena              ,Sacramento Kings ,SAC
1275,2014,Sleep Train Arena              ,Sacramento Kings ,SAC
1276,2015,Sleep Train Arena              ,Sacramento Kings ,SAC
1277,2016,Sleep Train Arena              ,Sacramento Kings ,SAC
1278,2017,Sleep Train Arena              ,Sacramento Kings ,SAC
1279,2018,Sleep Train Arena              ,Sacramento Kings ,SAC
1280,1967,Memorial Auditorium                ,San Antoni Spurs ,SAS
1281,1968,Memorial Auditorium                ,San Antoni Spurs ,SAS
1282,1969,Memorial Auditorium                ,San Antoni Spurs ,SAS
1283,1970,Moody Coliseum                ,San Antoni Spurs ,SAS
1284,1971,Moody Coliseum                     ,San Antoni Spurs ,SAS
1285,1972,Moody Coliseum                     ,San Antoni Spurs ,SAS
1286,1973,HemisFair Arena            ,San Antoni Spurs ,SAS
1287,1974,HemisFair Arena            ,San Antoni Spurs ,SAS
1288,1975,HemisFair Arena            ,San Antoni Spurs ,SAS
1289,1976,HemisFair Arena            ,San Antoni Spurs ,SAS
1290,1977,HemisFair Arena            ,San Antoni Spurs ,SAS
1291,1978,HemisFair Arena            ,San Antoni Spurs ,SAS
1292,1979,HemisFair Arena            ,San Antoni Spurs ,SAS
1293,1980,HemisFair Arena            ,San Antoni Spurs ,SAS
1294,1981,HemisFair Arena            ,San Antoni Spurs ,SAS
1295,1982,HemisFair Arena            ,San Antoni Spurs ,SAS
1296,1983,HemisFair Arena            ,San Antoni Spurs ,SAS
1297,1984,HemisFair Arena            ,San Antoni Spurs ,SAS
1298,1985,HemisFair Arena            ,San Antoni Spurs ,SAS
1299,1986,HemisFair Arena            ,San Antoni Spurs ,SAS
1300,1987,HemisFair Arena            ,San Antoni Spurs ,SAS
1301,1988,HemisFair Arena            ,San Antoni Spurs ,SAS
1302,1989,HemisFair Arena            ,San Antoni Spurs ,SAS
1303,1990,HemisFair Arena            ,San Antoni Spurs ,SAS
1304,1991,HemisFair Arena            ,San Antoni Spurs ,SAS
1305,1992,HemisFair Arena            ,San Antoni Spurs ,SAS
1306,1993,Alamodome                ,San Antoni Spurs ,SAS
1307,1994,Alamodome                ,San Antoni Spurs ,SAS
1308,1995,Alamodome                ,San Antoni Spurs ,SAS
1309,1996,Alamodome                ,San Antoni Spurs ,SAS
1310,1997,Alamodome                ,San Antoni Spurs ,SAS
1311,1998,Alamodome                ,San Antoni Spurs ,SAS
1312,1999,Alamodome                ,San Antoni Spurs ,SAS
1313,2000,Alamodome                ,San Antoni Spurs ,SAS
1314,2001,Alamodome                ,San Antoni Spurs ,SAS
1315,2002,SBC Center              ,San Antoni Spurs ,SAS
1316,2003,SBC Center              ,San Antoni Spurs ,SAS
1317,2004,SBC Center              ,San Antoni Spurs ,SAS
1318,2005,SBC Center              ,San Antoni Spurs ,SAS
1319,2006,SBC Center              ,San Antoni Spurs ,SAS
1320,2007,SBC Center              ,San Antoni Spurs ,SAS
1321,2008,SBC Center              ,San Antoni Spurs ,SAS
1322,2009,SBC Center              ,San Antoni Spurs ,SAS
1323,2010,AT&T Center               ,San Antoni Spurs ,SAS
1324,2011,AT&T Center               ,San Antoni Spurs ,SAS
1325,2012,AT&T Center               ,San Antoni Spurs ,SAS
1326,2013,AT&T Center               ,San Antoni Spurs ,SAS
1327,2014,AT&T Center               ,San Antoni Spurs ,SAS
1328,2015,AT&T Center               ,San Antoni Spurs ,SAS
1329,2016,AT&T Center               ,San Antoni Spurs ,SAS
1330,2017,AT&T Center               ,San Antoni Spurs ,SAS
1331,2018,AT&T Center               ,San Antoni Spurs ,SAS
1332,1967,Seattle Center Coliseum          ,Oklahoma City Thunder,OKC
1333,1968,Seattle Center Coliseum          ,Oklahoma City Thunder,OKC
1334,1969,Seattle Center Coliseum          ,Oklahoma City Thunder,OKC
1335,1970,Seattle Center Coliseum          ,Oklahoma City Thunder,OKC
1336,1971,Seattle Center Coliseum          ,Oklahoma City Thunder,OKC
1337,1972,Seattle Center Coliseum          ,Oklahoma City Thunder,OKC
1338,1973,Seattle Center Coliseum          ,Oklahoma City Thunder,OKC
1339,1974,Seattle Center Coliseum          ,Oklahoma City Thunder,OKC
1340,1975,Seattle Center Coliseum          ,Oklahoma City Thunder,OKC
1341,1976,Seattle Center Coliseum          ,Oklahoma City Thunder,OKC
1342,1977,Seattle Center Coliseum          ,Oklahoma City Thunder,OKC
1343,1978,Kingdome                         ,Oklahoma City Thunder,OKC
1344,1979,Kingdome                         ,Oklahoma City Thunder,OKC
1345,1980,Kingdome                         ,Oklahoma City Thunder,OKC
1346,1981,Kingdome                         ,Oklahoma City Thunder,OKC
1347,1982,Kingdome                         ,Oklahoma City Thunder,OKC
1348,1983,Kingdome                         ,Oklahoma City Thunder,OKC
1349,1984,Kingdome                         ,Oklahoma City Thunder,OKC
1350,1985,Seattle Center Coliseum          ,Oklahoma City Thunder,OKC
1351,1986,Seattle Center Coliseum          ,Oklahoma City Thunder,OKC
1352,1987,Seattle Center Coliseum          ,Oklahoma City Thunder,OKC
1353,1988,Seattle Center Coliseum          ,Oklahoma City Thunder,OKC
1354,1989,Seattle Center Coliseum          ,Oklahoma City Thunder,OKC
1355,1990,Seattle Center Coliseum          ,Oklahoma City Thunder,OKC
1356,1991,Seattle Center Coliseum          ,Oklahoma City Thunder,OKC
1357,1992,Seattle Center Coliseum          ,Oklahoma City Thunder,OKC
1358,1993,Seattle Center Coliseum          ,Oklahoma City Thunder,OKC
1359,1994,Tacoma Dome                       ,Oklahoma City Thunder,OKC
1360,1995,Key Arena                        ,Oklahoma City Thunder,OKC
1361,1996,Key Arena                        ,Oklahoma City Thunder,OKC
1362,1997,Key Arena                        ,Oklahoma City Thunder,OKC
1363,1998,Key Arena                        ,Oklahoma City Thunder,OKC
1364,1999,Key Arena                        ,Oklahoma City Thunder,OKC
1365,2000,Key Arena                        ,Oklahoma City Thunder,OKC
1366,2001,Key Arena                        ,Oklahoma City Thunder,OKC
1367,2002,Key Arena                        ,Oklahoma City Thunder,OKC
1368,2003,Key Arena                        ,Oklahoma City Thunder,OKC
1369,2004,Key Arena                        ,Oklahoma City Thunder,OKC
1370,2005,Key Arena                        ,Oklahoma City Thunder,OKC
1371,2006,Key Arena                        ,Oklahoma City Thunder,OKC
1372,2007,Key Arena                        ,Oklahoma City Thunder,OKC
1373,2008,Chesapeake Energy Arena         ,Oklahoma City Thunder,OKC
1374,2009,Chesapeake Energy Arena         ,Oklahoma City Thunder,OKC
1375,2010,Chesapeake Energy Arena         ,Oklahoma City Thunder,OKC
1376,2011,Chesapeake Energy Arena         ,Oklahoma City Thunder,OKC
1377,2012,Chesapeake Energy Arena         ,Oklahoma City Thunder,OKC
1378,2013,Chesapeake Energy Arena         ,Oklahoma City Thunder,OKC
1379,2014,Chesapeake Energy Arena         ,Oklahoma City Thunder,OKC
